Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Mumbai,RCB,RCB,2 wickets,Chennai,09-04-2021,T20
Super Kings,Capitals,Capitals,7 wickets,Wankhede,10-04-2021,T20
Sunrisers,KKR,KKR,10 runs,Chennai,11-04-2021,T20
Royals,Punjab Kings,Punjab Kings,4 runs,Wankhede,12-04-2021,T20
KKR,Mumbai,Mumbai,10 runs,Chennai,13-04-2021,T20
Sunrisers,RCB,RCB,6 runs,Chennai,14-04-2021,T20
Royals,Capitals,Royals,3 wickets,Wankhede,15-04-2021,T20
Punjab Kings,Super Kings,Super Kings,6 wickets,Wankhede,16-04-2021,T20
Mumbai,Sunrisers,Mumbai,13 runs,Chennai,17-04-2021,T20
RCB,KKR,RCB,38 runs,Chennai,18-04-2021,T20
Capitals,Punjab Kings,Capitals,6 wickets,Wankhede,18-04-2021,T20
Super Kings,Royals,Super Kings,45 runs,Wankhede,19-04-2021,T20
Capitals,Mumbai,Capitals,6 wickets,Chennai,20-04-2021,T20
Punjab Kings,Sunrisers,Sunrisers,9 wickets,Chennai,21-04-2021,T20
KKR,Super Kings,Super Kings,18 runs,Wankhede,21-04-2021,T20
RCB,Royals,RCB,10 wickets,Wankhede,22-04-2021,T20
Punjab Kings,Mumbai,Punjab Kings,9 wickets,Chennai,23-04-2021,T20
Royals,KKR,Royals,6 wickets,Wankhede,24-04-2021,T20
Super Kings,RCB,Super Kings,69 runs,Wankhede,25-04-2021,T20
Sunrisers,Capitals,tied,,Chennai,25-04-2021,T20
Punjab Kings,KKR,KKR,5 wickets,Ahmedabad,26-04-2021,T20
Capitals,RCB,RCB,1 run,Ahmedabad,27-04-2021,T20
Super Kings,Sunrisers,Super Kings,7 wickets,Delhi,28-04-2021,T20
Mumbai,Royals,Mumbai,7 wickets,Delhi,29-04-2021,T20
Capitals,KKR,Capitals,7 wickets,Ahmedabad,29-04-2021,T20
Punjab Kings,RCB,Punjab Kings,34 runs,Ahmedabad,30-04-2021,T20
Mumbai,Super Kings,Mumbai,4 wickets,Delhi,01-05-2021,T20
Royals,Sunrisers,Royals,55 runs,Delhi,02-05-2021,T20
Punjab Kings,Capitals,Capitals,7 wickets,Ahmedabad,02-05-2021,T20
Super Kings,Mumbai,Super Kings,20 runs,Dubai (DSC),19-09-2021,T20
KKR,RCB,KKR,9 wickets,Abu Dhabi,20-09-2021,T20
Punjab Kings,Royals,Royals,2 runs,Dubai (DSC),21-09-2021,T20
Capitals,Sunrisers,Capitals,8 wickets,Dubai (DSC),22-09-2021,T20
Mumbai,KKR,KKR,7 wickets,Abu Dhabi,23-09-2021,T20
RCB,Super Kings,Super Kings,6 wickets,Sharjah,24-09-2021,T20
Capitals,Royals,Capitals,33 runs,Abu Dhabi,25-09-2021,T20
Sunrisers,Punjab Kings,Punjab Kings,5 runs,Sharjah,25-09-2021,T20
Super Kings,KKR,Super Kings,2 wickets,Abu Dhabi,26-09-2021,T20
RCB,Mumbai,RCB,54 runs,Dubai (DSC),26-09-2021,T20
Sunrisers,Royals,Sunrisers,7 wickets,Dubai (DSC),27-09-2021,T20
KKR,Capitals,KKR,3 wickets,Sharjah,28-09-2021,T20
Mumbai,Punjab Kings,Mumbai,6 wickets,Abu Dhabi,28-09-2021,T20
Royals,RCB,RCB,7 wickets,Dubai (DSC),29-09-2021,T20
Sunrisers,Super Kings,Super Kings,6 wickets,Sharjah,30-09-2021,T20
KKR,Punjab Kings,Punjab Kings,5 wickets,Dubai (DSC),01-10-2021,T20
Mumbai,Capitals,Capitals,4 wickets,Sharjah,02-10-2021,T20
Royals,Super Kings,Royals,7 wickets,Abu Dhabi,02-10-2021,T20
RCB,Punjab Kings,RCB,6 runs,Sharjah,03-10-2021,T20
KKR,Sunrisers,KKR,6 wickets,Dubai (DSC),03-10-2021,T20
Capitals,Super Kings,Capitals,3 wickets,Dubai (DSC),04-10-2021,T20
Royals,Mumbai,Mumbai,8 wickets,Sharjah,05-10-2021,T20
RCB,Sunrisers,Sunrisers,4 runs,Abu Dhabi,06-10-2021,T20
Super Kings,Punjab Kings,Punjab Kings,6 wickets,Dubai (DSC),07-10-2021,T20
KKR,Royals,KKR,86 runs,Sharjah,07-10-2021,T20
RCB,Capitals,RCB,7 wickets,Dubai (DSC),08-10-2021,T20
Sunrisers,Mumbai,Mumbai,42 runs,Abu Dhabi,08-10-2021,T20
Capitals,Super Kings,Super Kings,4 wickets,Dubai (DSC),10-10-2021,T20
RCB,KKR,KKR,4 wickets,Sharjah,11-10-2021,T20
Capitals,KKR,KKR,3 wickets,Sharjah,13-10-2021,T20
Super Kings,KKR,Super Kings,27 runs,Dubai (DSC),15-10-2021,T20
